model,MAE,RMSE,R2,MAPE,pct_within_15pct
OSRM Estimate (Benchmark),204.02126044039483,366.9466899505792,0.6238850903064345,46.330260656267335,3.8034099537516393
Random Forest (Baseline),35.41760661548901,68.99108671411449,0.9867046255774861,20.23750308055633,56.91999723890384
XGBoost (Baseline),34.244627488505365,63.067538469930305,0.988889685253066,21.58212807047749,56.06750880099399
XGBoost + Node2Vec (Graph-Enhanced),27.727121419516,50.992729724746866,0.992736747822602,18.706948521705485,61.51031959687996
