source_center,destination_center,trip_volume,segment_count,avg_actual_time,avg_osrm_time,median_delay_ratio,mean_delay_ratio,avg_delay_minutes,avg_distance_km,dominant_route_type,pct_ftl,is_high_delay_corridor,avg_extra_minutes_per_trip,total_delay_impact_minutes,source_name,destination_name,corridor_label
IND841226AAB,IND841428AAA,2,4,29.25,11.0,3.2279411764705883,3.8639705882352944,18.25,16.1051,Carting,0.5,1,18.25,36.5,Siwan_HnmntNgr_D (Bihar),Gopalganj_GopalDPP_D (Bihar),Siwan_HnmntNgr_D (Bihar) -> Gopalganj_GopalDPP_D (Bihar)
IND841301AAC,IND841226AAB,1,5,18.8,9.2,1.6,4.296969696969697,9.6,13.179839999999999,Carting,0.0,1,9.600000000000001,9.600000000000001,,Siwan_HnmntNgr_D (Bihar), -> Siwan_HnmntNgr_D (Bihar)
IND841405AAA,IND841301AAC,1,9,19.666666666666668,11.555555555555555,1.8571428571428572,1.8858465608465609,8.11111111111111,13.281766666666666,Carting,0.0,1,8.111111111111112,8.111111111111112,Barauli_SiwanRd_D (Bihar),,Barauli_SiwanRd_D (Bihar) -> 
IND841424AAA,IND841226AAB,3,9,33.22222222222222,14.555555555555555,2.1333333333333333,2.254459628969433,18.666666666666668,20.968322222222223,FTL,1.0,1,18.666666666666664,55.99999999999999,Chhapra_Prbhunth_D (Bihar),Siwan_HnmntNgr_D (Bihar),Chhapra_Prbhunth_D (Bihar) -> Siwan_HnmntNgr_D (Bihar)
IND841424AAA,IND841428AAA,6,24,60.708333333333336,16.75,2.6076923076923078,3.5113276128756006,43.958333333333336,24.236158333333332,FTL,1.0,1,43.958333333333336,263.75,Chhapra_Prbhunth_D (Bihar),Gopalganj_GopalDPP_D (Bihar),Chhapra_Prbhunth_D (Bihar) -> Gopalganj_GopalDPP_D (Bihar)
IND842001AAA,IND843105AAB,20,39,24.0,8.23076923076923,2.0588235294117645,1.9218514328808447,15.76923076923077,12.081684615384615,FTL,1.0,1,15.76923076923077,315.3846153846154,Muzaffrpur_Bbganj_I (Bihar),Dholi_WardNo4_D (Bihar),Muzaffrpur_Bbganj_I (Bihar) -> Dholi_WardNo4_D (Bihar)
IND842001AAA,IND843109AAB,15,30,18.233333333333334,4.866666666666666,3.4523809523809526,3.75,13.366666666666667,7.446853333333333,Carting,0.0,1,13.366666666666667,200.5,Muzaffrpur_Bbganj_I (Bihar),Kanti_Central_DPP_2 (Bihar),Muzaffrpur_Bbganj_I (Bihar) -> Kanti_Central_DPP_2 (Bihar)
IND842001AAA,IND843126AAA,3,9,31.666666666666668,8.11111111111111,3.0,3.896014073645653,23.555555555555557,10.274888888888889,Carting,0.0,1,23.555555555555557,70.66666666666667,Muzaffrpur_Bbganj_I (Bihar),Saraiya_Wardno4_D (Bihar),Muzaffrpur_Bbganj_I (Bihar) -> Saraiya_Wardno4_D (Bihar)
IND842001AAA,IND843301AAA,6,18,57.72222222222222,35.94444444444444,1.2525570416994491,1.9809719552224274,21.77777777777778,41.13476111111111,FTL,1.0,1,21.77777777777778,130.66666666666669,Muzaffrpur_Bbganj_I (Bihar),Sitamari_Durma_D (Bihar),Muzaffrpur_Bbganj_I (Bihar) -> Sitamari_Durma_D (Bihar)
IND842001AAA,IND843320AAA,1,3,100.0,32.333333333333336,1.5,2.601449275362319,67.66666666666667,37.19263333333333,FTL,1.0,1,67.66666666666666,67.66666666666666,Muzaffrpur_Bbganj_I (Bihar),Pupri_SngihiRD_D (Bihar),Muzaffrpur_Bbganj_I (Bihar) -> Pupri_SngihiRD_D (Bihar)
IND842001AAA,IND843329AAB,13,39,25.94871794871795,19.76923076923077,1.2,1.2613244491813271,6.17948717948718,19.97883076923077,FTL,1.0,0,6.179487179487179,80.33333333333333,Muzaffrpur_Bbganj_I (Bihar),Sheohar_Ward9DPP_D (Bihar),Muzaffrpur_Bbganj_I (Bihar) -> Sheohar_Ward9DPP_D (Bihar)
IND842001AAA,IND845401AAA,4,16,34.375,19.5,2.0238095238095237,2.258116893636446,14.875,27.85824375,FTL,1.0,1,14.875,59.5,Muzaffrpur_Bbganj_I (Bihar),Motihari_RajaBzr_D (Bihar),Muzaffrpur_Bbganj_I (Bihar) -> Motihari_RajaBzr_D (Bihar)
IND842001AAA,IND845412AAB,15,43,26.813953488372093,11.86046511627907,2.0,1.8903604589345102,14.953488372093023,17.337130232558142,FTL,1.0,1,14.953488372093023,224.30232558139534,Muzaffrpur_Bbganj_I (Bihar),Chakia_Wardno10_D (Bihar),Muzaffrpur_Bbganj_I (Bihar) -> Chakia_Wardno10_D (Bihar)
IND842001AAA,IND845418AAB,12,37,50.567567567567565,26.675675675675677,2.0,2.0194504227656402,23.89189189189189,34.27769459459459,FTL,1.0,1,23.891891891891888,286.70270270270265,Muzaffrpur_Bbganj_I (Bihar),Dhaka_PchpkrRD_D (Bihar),Muzaffrpur_Bbganj_I (Bihar) -> Dhaka_PchpkrRD_D (Bihar)
IND842001AAA,IND845438AAA,5,30,38.266666666666666,15.033333333333333,2.5277777777777777,3.019790653103347,23.233333333333334,21.94176,FTL,1.0,1,23.233333333333334,116.16666666666667,Muzaffrpur_Bbganj_I (Bihar),Bettiah_BypassRd_D (Bihar),Muzaffrpur_Bbganj_I (Bihar) -> Bettiah_BypassRd_D (Bihar)
IND842001AAA,IND846004AAA,22,66,38.84848484848485,16.28787878787879,2.2198067632850242,2.4728995578905786,22.560606060606062,22.865101515151515,FTL,1.0,1,22.560606060606062,496.33333333333337,Muzaffrpur_Bbganj_I (Bihar),Darbhanga (Bihar),Muzaffrpur_Bbganj_I (Bihar) -> Darbhanga (Bihar)
